report_date,county,county_population,cumulative_cases,cumulative_tests_reportable,cumulative_deaths,cases_7days,tests_reportable_7days,positive_naat_7days,tests_naat_7days,naat_positivity_7days,cumulative_positive_naat,cumulative_tests_naat,positive_ag_7days,census_today,fullyvax_today,partialvax_today,nonvax_today,adddose_today,census_7days_ago,census_change,census_not_fully_vax,census_pct_not_fully_vax,case_rate_weekly,fips,data_updated
06/16/2022,Fairfield,957418,224528,4072206,2745,913,11795,993,11682,0.085,243897,3547345,113,64,24,2,27,11,74,-10,29,0.4531,95.3606,1,06/16/2022
06/16/2022,Hartford,899499,198162,3960442,3185,784,9312,736,9023,0.0816,217064,3507298,289,102,54,2,28,18,103,-1,30,0.2941,87.1596,3,06/16/2022
06/16/2022,Litchfield,185186,35092,725576,466,131,1595,127,1554,0.0817,36318,644461,41,7,4,0,1,2,5,2,1,0.1429,70.7397,5,06/16/2022
06/16/2022,Middlesex,164245,32402,922939,486,162,1942,190,1915,0.0992,35411,857418,27,4,3,0,0,1,5,-1,0,0,98.6331,7,06/16/2022
06/16/2022,New Haven,864835,214945,4420001,2866,873,13259,962,13114,0.0734,231055,3956558,145,74,43,5,19,7,77,-3,24,0.3243,100.9441,9,06/16/2022
06/16/2022,New London,268554,61238,1332443,676,277,3817,296,3755,0.0788,66564,1207437,62,20,8,4,5,3,16,4,9,0.45,103.145,11,06/16/2022
06/16/2022,not_available,,2594,100725,2,14,163,14,162,0.0864,2624,89324,1,,,,,,,,,,,,06/16/2022
06/16/2022,Tolland,149788,23337,500207,280,96,1199,94,1177,0.0799,24400,455755,22,2,2,0,0,0,1,1,0,0,64.0906,13,06/16/2022
06/16/2022,Windham,116419,27728,450098,309,79,1074,82,1048,0.0782,31423,408441,26,0,0,0,0,0,1,-1,0,,67.8583,15,06/16/2022
06/17/2022,Fairfield,957418,224780,4075590,2745,1012,12581,1095,12451,0.0879,244183,3550698,130,53,16,3,22,12,66,-13,25,0.4717,105.701,1,06/17/2022
06/17/2022,Hartford,899499,198378,3962547,3185,848,8990,740,8613,0.0859,217235,3509232,377,93,50,2,26,15,96,-3,28,0.3011,94.2747,3,06/17/2022
06/17/2022,Litchfield,185186,35123,727262,466,133,1428,118,1377,0.0857,36344,644848,51,7,5,0,1,1,6,1,1,0.1429,71.8197,5,06/17/2022
06/17/2022,Middlesex,164245,32432,923436,486,164,1968,188,1940,0.0969,35444,857910,28,4,3,0,0,1,6,-2,0,0,99.8508,7,06/17/2022
06/17/2022,New Haven,864835,215128,4423297,2866,938,14415,1036,14265,0.0726,231254,3959775,150,80,45,5,23,7,66,14,28,0.35,108.46,9,06/17/2022
06/17/2022,New London,268554,61312,1333199,676,300,4053,316,3977,0.0795,66631,1208161,76,20,9,1,6,4,17,3,7,0.35,111.7094,11,06/17/2022
06/17/2022,not_available,,2598,100801,2,16,182,15,180,0.0833,2629,89391,2,,,,,,,,,,,,06/17/2022
06/17/2022,Tolland,149788,23372,501057,280,114,1726,109,1698,0.0642,24432,456595,28,1,1,0,0,0,2,-1,0,0,76.1076,13,06/17/2022
06/17/2022,Windham,116419,27747,449908,309,72,1150,81,1133,0.0715,31443,408250,17,3,0,0,2,1,0,3,2,0.6667,61.8456,15,06/17/2022
06/18/2022,Fairfield,957418,224924,4078168,2745,966,13086,1071,12979,0.0825,244359,3553270,107,55,19,2,24,10,59,-4,26,0.4727,100.8964,1,06/18/2022
06/18/2022,Hartford,899499,198510,3964832,3185,806,9391,710,9022,0.0787,217368,3511434,369,92,45,3,28,16,103,-11,31,0.337,89.6054,3,06/18/2022
06/18/2022,Litchfield,185186,35150,727457,466,130,1400,114,1352,0.0843,36370,645038,48,6,5,0,1,0,8,-2,1,0.1667,70.1997,5,06/18/2022
06/18/2022,Middlesex,164245,32457,923724,486,147,1872,169,1848,0.0915,35476,858193,24,5,4,0,0,1,5,0,0,0,89.5004,7,06/18/2022
06/18/2022,New Haven,864835,215253,4425671,2866,895,14084,1004,13950,0.072,231416,3962137,134,82,48,4,21,9,72,10,25,0.3049,103.4879,9,06/18/2022
06/18/2022,New London,268554,61347,1333771,676,294,3948,301,3879,0.0776,66670,1208732,69,23,12,1,7,3,19,4,8,0.3478,109.4752,11,06/18/2022
06/18/2022,not_available,,2599,100866,2,19,185,16,181,0.0884,2626,89474,4,,,,,,,,,,,,06/18/2022
06/18/2022,Tolland,149788,23388,501144,280,114,1679,105,1650,0.0636,24447,456678,29,0,0,0,0,0,0,0,0,,76.1076,13,06/18/2022
06/18/2022,Windham,116419,27751,450440,309,64,1146,71,1132,0.0627,31452,408782,14,4,0,0,3,1,1,3,3,0.75,54.9738,15,06/18/2022
06/19/2022,Fairfield,957418,225028,4079539,2745,952,13039,1055,12944,0.0815,244477,3554640,95,48,16,0,25,7,67,-19,25,0.5208,99.4341,1,06/19/2022
06/19/2022,Hartford,899499,198627,3967071,3185,807,10559,746,10233,0.0729,217517,3513689,326,89,42,2,29,16,94,-5,31,0.3483,89.7166,3,06/19/2022
06/19/2022,Litchfield,185186,35156,727595,466,124,1436,114,1394,0.0818,36380,645178,42,9,4,0,1,4,9,0,1,0.1111,66.9597,5,06/19/2022
06/19/2022,Middlesex,164245,32474,924008,486,141,1910,161,1888,0.0853,35490,858475,22,9,5,0,2,2,8,1,2,0.2222,85.8474,7,06/19/2022
06/19/2022,New Haven,864835,215367,4427318,2866,900,14224,1023,14110,0.0725,231550,3963777,114,86,50,4,22,10,75,11,26,0.3023,104.0661,9,06/19/2022
06/19/2022,New London,268554,61390,1334330,676,286,4050,301,3989,0.0755,66719,1209287,61,20,12,1,4,3,18,2,5,0.25,106.4963,11,06/19/2022
06/19/2022,not_available,,2603,100865,2,19,191,17,187,0.0909,2634,89464,4,,,,,,,,,,,,06/19/2022
06/19/2022,Tolland,149788,23406,501337,280,121,1740,116,1715,0.0676,24466,456867,25,0,0,0,0,0,1,-1,0,,80.7808,13,06/19/2022
06/19/2022,Windham,116419,27765,450615,309,71,1209,83,1197,0.0693,31478,408958,12,3,0,0,3,0,2,1,3,1,60.9866,15,06/19/2022
06/20/2022,Fairfield,957418,225161,4081098,2745,965,13380,1071,13274,0.0807,244628,3556178,106,46,18,0,23,5,63,-17,23,0.5,100.7919,1,06/20/2022
06/20/2022,Hartford,899499,198729,3968318,3185,799,10922,766,10624,0.0721,217636,3514893,298,84,40,3,28,13,100,-16,31,0.369,88.8272,3,06/20/2022
06/20/2022,Litchfield,185186,35181,728017,466,127,1660,119,1623,0.0733,36407,645595,37,10,4,0,1,5,7,3,1,0.1,68.5797,5,06/20/2022
06/20/2022,Middlesex,164245,32492,924374,486,139,2061,152,2034,0.0747,35508,858830,27,10,5,0,3,2,6,4,3,0.3,84.6297,7,06/20/2022
06/20/2022,New Haven,864835,215521,4428993,2866,946,14600,1072,14485,0.074,231725,3965431,115,76,43,4,17,12,75,1,21,0.2763,109.385,9,06/20/2022
06/20/2022,New London,268554,61438,1334907,676,301,4277,320,4213,0.076,66771,1209851,64,17,13,0,4,0,17,0,4,0.2353,112.0817,11,06/20/2022
06/20/2022,not_available,,2607,100871,2,23,193,21,189,0.1111,2638,89489,4,,,,,,,,,,,,06/20/2022
06/20/2022,Tolland,149788,23417,501476,280,119,1777,114,1751,0.0651,24477,457008,26,1,1,0,0,0,1,0,0,0,79.4456,13,06/20/2022
06/20/2022,Windham,116419,27773,450694,309,67,1235,81,1225,0.0661,31491,409036,10,2,0,0,2,0,2,0,2,1,57.5507,15,06/20/2022
06/21/2022,Fairfield,957418,225314,4082853,2747,897,11725,1005,11627,0.0864,244805,3557914,98,57,29,0,22,6,64,-7,22,0.386,93.6895,1,06/21/2022
06/21/2022,Hartford,899499,198893,3969745,3187,785,10092,701,9741,0.072,217744,3516220,351,82,40,2,27,13,102,-20,29,0.3537,87.2708,3,06/21/2022
06/21/2022,Litchfield,185186,35205,728251,468,113,1522,102,1484,0.0687,36419,645812,38,10,4,0,2,4,8,2,2,0.2,61.0197,5,06/21/2022
06/21/2022,Middlesex,164245,32521,924635,488,130,1835,137,1810,0.0757,35533,859081,25,11,5,0,4,2,6,5,4,0.3636,79.1501,7,06/21/2022
06/21/2022,New Haven,864835,215666,4430990,2870,912,13504,1020,13374,0.0763,231865,3967387,130,78,50,4,19,5,80,-2,23,0.2949,105.4536,9,06/21/2022
06/21/2022,New London,268554,61467,1335346,679,238,3282,243,3220,0.0755,66800,1210283,62,19,12,1,4,2,18,1,5,0.2632,88.6228,11,06/21/2022
06/21/2022,not_available,,2617,100921,2,24,177,20,171,0.117,2646,89518,6,,,,,,,,,,,,06/21/2022
06/21/2022,Tolland,149788,23434,501631,281,99,1665,96,1643,0.0584,24493,457152,22,1,1,0,0,0,2,-1,0,0,66.0934,13,06/21/2022
06/21/2022,Windham,116419,27781,450612,310,56,1052,72,1045,0.0689,31498,408950,7,1,0,0,1,0,2,-1,1,1,48.1021,15,06/21/2022
06/22/2022,Fairfield,957418,225548,4085345,2747,932,11714,1037,11602,0.0894,245056,3560362,112,43,18,0,17,8,61,-18,17,0.3953,97.3452,1,06/22/2022
06/22/2022,Hartford,899499,199068,3971376,3187,801,10034,704,9684,0.0727,217889,3517781,350,81,36,2,34,9,105,-24,36,0.4444,89.0496,3,06/22/2022
06/22/2022,Litchfield,185186,35226,728455,468,118,1543,114,1505,0.0757,36443,646012,38,9,3,0,2,4,8,1,2,0.2222,63.7197,5,06/22/2022
06/22/2022,Middlesex,164245,32540,925023,488,121,1854,126,1832,0.0688,35558,859463,22,8,4,0,2,2,7,1,2,0.25,73.6704,7,06/22/2022
06/22/2022,New Haven,864835,215859,4433541,2871,932,12957,1047,12825,0.0816,232088,3969907,132,74,41,5,18,10,72,2,23,0.3108,107.7662,9,06/22/2022
06/22/2022,New London,268554,61526,1335992,679,242,3230,254,3174,0.08,66865,1210918,56,17,12,0,3,2,16,1,3,0.1765,90.1122,11,06/22/2022
06/22/2022,not_available,,2614,100855,2,30,158,24,150,0.16,2640,89445,8,,,,,,,,,,,,06/22/2022
06/22/2022,Tolland,149788,23452,501825,281,88,1052,85,1030,0.0825,24509,457344,22,0,0,0,0,0,2,-2,0,,58.7497,13,06/22/2022
06/22/2022,Windham,116419,27792,451037,310,51,981,59,973,0.0606,31509,409370,8,1,0,0,1,0,1,0,1,1,43.8073,15,06/22/2022
06/23/2022,Fairfield,957418,225730,4087595,2747,902,11367,1023,11265,0.0908,245274,3562593,102,41,13,1,20,7,64,-23,21,0.5122,94.2117,1,06/23/2022
06/23/2022,Hartford,899499,199250,3973584,3188,800,9555,716,9220,0.0777,218053,3519901,335,82,39,2,32,9,102,-20,34,0.4146,88.9384,3,06/23/2022
06/23/2022,Litchfield,185186,35248,728904,468,113,1520,103,1480,0.0696,36467,646451,40,8,3,0,2,3,7,1,2,0.25,61.0197,5,06/23/2022
06/23/2022,Middlesex,164245,32566,925387,488,128,1928,128,1901,0.0673,35588,859819,27,7,3,0,2,2,4,3,2,0.2857,77.9324,7,06/23/2022
06/23/2022,New Haven,864835,216035,4435962,2871,905,12900,1012,12763,0.0793,232281,3972294,137,74,42,5,18,9,74,0,23,0.3108,104.6442,9,06/23/2022
